,sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
27,11,one-to-one,dn_11,ngm_10,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,nmod,explicit_ref_pos,
28,15,one-to-one,dn_15,ngm_14,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
29,16,one-to-one,dn_16,ngm_15,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
30,16,one-to-one,dn_16,ngm_15,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
31,17,one-to-one,dn_17,ngm_16,Giorgio Ippolita,Giorgio Ippolita,PRON,NOUN,nsubj,nsubj,explicit_ref_case,
32,17,one-to-one,dn_17,ngm_16,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
33,17,one-to-one,dn_17,ngm_16,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,nmod,explicit_full,
34,18,one-to-one,dn_18,ngm_17,crowd-of-men,crowd-of-men,NOUN,NOUN,nsubj,nsubj,explicit_full,
35,18,one-to-one,dn_18,ngm_17,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
36,19,one-to-one,dn_19,ngm_18,crowd-of-men,crowd-of-men,NOUN,NOUN,pred,pred,explicit_full,
37,19,one-to-one,dn_19,ngm_18,crowd-of-men,crowd-of-men,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
38,20,one-to-one,dn_20,ngm_19,crowd-of-men,crowd-of-men,DET,DET,nmod,nmod,explicit_full,
39,20,one-to-one,dn_20,ngm_19,crowd-of-men,crowd-of-men,DET,PRON,nmod,nsubj,explicit_ref_only,
40,20,one-to-one,dn_20,ngm_19,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
41,21,one-to-one,dn_21,ngm_20,young-man,young-man,NOUN,NOUN,nsubj,nsubj,explicit_full,
42,22,one-to-one,dn_22,ngm_21,suicidal-man,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
43,23,one-to-many,dn_23,ngm_22 ngm_23,man-from-the-crowd,man-from-the-crowd,NOUN,NOUN,nsubj,nsubj,explicit_full,
44,23,one-to-many,dn_23,ngm_22 ngm_23,man-from-the-crowd,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
45,23,one-to-many,dn_23,ngm_22 ngm_23,man-from-the-crowd,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
46,23,one-to-many,dn_23,ngm_22 ngm_23,MISSING,man-from-the-crowd,MISSING,DET,MISSING,nmod,leftover_target,
47,23,one-to-many,dn_23,ngm_22 ngm_23,young-man,young-man,PRON,PRON,nsubj,nsubj,explicit_full,
48,23,one-to-many,dn_23,ngm_22 ngm_23,young-man,young-man,PRON,NOUN,obj,obj,explicit_ref_case,
49,23,one-to-many,dn_23,ngm_22 ngm_23,young-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
50,24,one-to-one,dn_24,ngm_24,suicidal-man,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
51,25,one-to-one,dn_25,ngm_25,UNKNOWN,UNKNOWN,NULL,NULL,nsubj,nsubj,zero_zero_single,
52,25,one-to-one,dn_25,ngm_25,suicidal-man,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
53,28,one-to-one,dn_28,ngm_28,suicidal-man,suicidal-man,NULL,NULL,nsubj,nsubj,zero_zero_single,
54,29,one-to-one,dn_29,ngm_29,suicidal-man,suicidal-man,NULL,NULL,nsubj,nsubj,zero_zero_single,
55,30,one-to-one,dn_30,ngm_30,man-with-a-pipe,man-with-a-pipe,NOUN,NOUN,nsubj,nsubj,explicit_full,
56,30,one-to-one,dn_30,ngm_30,man-with-a-pipe,man-with-a-pipe,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.21238833493575818
57,30,one-to-one,dn_30,ngm_30,man-with-a-pipe,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
58,30,one-to-one,dn_30,ngm_30,man-with-a-pipe,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
59,30,one-to-one,dn_30,ngm_30,MISSING,man-with-a-pipe,MISSING,NULL,MISSING,nsubj,leftover_target,
60,32,one-to-one,dn_32,ngm_32,man-with-a-pipe,man-with-a-pipe,DET,DET,nmod,nmod,explicit_full,
61,32,one-to-one,dn_32,ngm_32,man-with-a-pipe,man-with-a-pipe,DET,PRON,nmod,nmod,explicit_ref_case,
62,34,one-to-one,dn_34,ngm_34,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
63,34,one-to-one,dn_34,ngm_34,cart-driver,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
64,35,one-to-one,dn_35,ngm_35,crowd-of-men,crowd-of-men,NOUN,NOUN,nsubj,nsubj,explicit_full,
65,35,one-to-one,dn_35,ngm_35,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
66,36,one-to-one,dn_36,ngm_36,crowd-of-men,crowd-of-men,NULL,NULL,nsubj,nsubj,zero_zero_single,
67,36,one-to-one,dn_36,ngm_36,MISSING,crowd-of-men,MISSING,NOUN,MISSING,nsubj,leftover_target,
68,38,one-to-one,dn_38,ngm_38,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
69,38,one-to-one,dn_38,ngm_38,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
70,38,one-to-one,dn_38,ngm_38,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
71,40,one-to-one,dn_40,ngm_40,man-with-a-pipe,man-with-a-pipe,NOUN,NOUN,nsubj,nsubj,explicit_full,
72,41,one-to-one,dn_41,ngm_41,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
73,41,one-to-one,dn_41,ngm_41,cart-driver,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
74,41,one-to-one,dn_41,ngm_41,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
75,41,one-to-one,dn_41,ngm_41,crowd-of-men,crowd-of-men,PRON,NOUN,nsubj,nsubj,explicit_ref_case,
76,46,one-to-one,dn_46,ngm_46,Giorgio,Giorgio,PROPN,PROPN,vocative,nsubj,explicit_ref_pos,
77,46,one-to-one,dn_46,ngm_46,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
78,47,one-to-one,dn_47,ngm_47,Giorgio,Giorgio,NOUN,NOUN,obj,obj,explicit_full,
79,47,one-to-one,dn_47,ngm_47,Giorgio,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
80,47,one-to-one,dn_47,ngm_47,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
81,47,one-to-one,dn_47,ngm_47,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
82,47,one-to-one,dn_47,ngm_47,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
83,47,one-to-one,dn_47,ngm_47,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
84,47,one-to-one,dn_47,ngm_47,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
85,47,one-to-one,dn_47,ngm_47,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
86,47,one-to-one,dn_47,ngm_47,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,obj,explicit_ref_pos,
87,48,one-to-one,dn_48,ngm_48,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
88,48,one-to-one,dn_48,ngm_48,MISSING,Giorgio Ippolita,MISSING,NOUN,MISSING,nsubj,leftover_target,
89,49,one-to-one,dn_49,ngm_49,Giorgio Ippolita,Giorgio Ippolita,DET,NOUN,nmod,nmod,explicit_ref_case,
90,49,one-to-one,dn_49,ngm_49,Giorgio Ippolita,MISSING,DET,MISSING,obj,MISSING,leftover_source,
91,50,one-to-one,dn_50,ngm_51,Giorgio,Giorgio,PRON,PROPN,nsubj,nsubj,explicit_ref_case,
92,52,one-to-one,dn_52,ngm_53,Ippolita,Ippolita,PRON,PROPN,nsubj,nsubj,explicit_ref_case,
93,54,one-to-one,dn_54,ngm_54,Giorgio Ippolita,Giorgio Ippolita,DET,PRON,nmod,nmod,explicit_ref_case,
94,55,one-to-one,dn_55,ngm_55,Ippolita,Ippolita,PRON,PROPN,nsubj,nsubj,explicit_ref_case,
95,55,one-to-one,dn_55,ngm_55,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
96,57,one-to-one,dn_57,ngm_57,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
97,58,one-to-one,dn_58,ngm_58,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
98,58,one-to-one,dn_58,ngm_58,MISSING,Giorgio,MISSING,PRON,MISSING,nmod,leftover_target,
99,58,one-to-one,dn_58,ngm_58,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
100,58,one-to-one,dn_58,ngm_58,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
101,58,one-to-one,dn_58,ngm_58,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
102,59,one-to-one,dn_59,ngm_59,MISSING,Giorgio Ippolita,MISSING,PRON,MISSING,nmod,leftover_target,
103,60,one-to-one,dn_60,ngm_60,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
104,60,one-to-one,dn_60,ngm_60,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
105,61,one-to-one,dn_61,ngm_61,Ippolita,Ippolita,PRON,PRON,obj,nmod,explicit_ref_pos,
106,62,one-to-one,dn_62,ngm_62,Giorgio,Giorgio,PRON,PRON,obj,nsubj,explicit_ref_pos,
107,62,one-to-one,dn_62,ngm_62,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
108,63,one-to-one,dn_63,ngm_63,Giorgio,Giorgio,PRON,PRON,nmod,nmod,explicit_full,
109,64,one-to-one,dn_64,ngm_64,Giorgio,Giorgio,PRON,NOUN,nsubj,nmod,explicit_ref_only,
110,64,one-to-one,dn_64,ngm_64,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
111,64,one-to-one,dn_64,ngm_64,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
112,64,one-to-one,dn_64,ngm_64,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
113,65,one-to-one,dn_65,ngm_65,Giorgio,Giorgio,PRON,PRON,obj,nsubj,explicit_ref_pos,
114,66,one-to-one,dn_66,ngm_66,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
115,67,one-to-one,dn_67,ngm_67,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
116,67,one-to-one,dn_67,ngm_67,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
117,68,one-to-one,dn_68,ngm_68,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
118,69,one-to-one,dn_69,ngm_69,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
119,69,one-to-one,dn_69,ngm_69,Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
120,69,one-to-one,dn_69,ngm_69,MISSING,Ippolita,MISSING,PRON,MISSING,obj,leftover_target,
121,70,one-to-one,dn_70,ngm_70,Giorgio,Giorgio,PRON,PROPN,nsubj,nsubj,explicit_ref_case,
122,70,one-to-one,dn_70,ngm_70,Giorgio Ippolita,Giorgio Ippolita,PRON,NOUN,nsubj,nsubj,explicit_ref_case,
123,70,one-to-one,dn_70,ngm_70,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
124,70,one-to-one,dn_70,ngm_70,MISSING,Giorgio Ippolita,MISSING,NOUN,MISSING,nsubj,leftover_target,
125,70,one-to-one,dn_70,ngm_70,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
126,70,one-to-one,dn_70,ngm_70,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
127,71,one-to-one,dn_71,ngm_71,MISSING,Giorgio Ippolita,MISSING,PRON,MISSING,nmod,leftover_target,
128,72,one-to-one,dn_72,ngm_72,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
129,72,one-to-one,dn_72,ngm_72,Giorgio,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
130,72,one-to-one,dn_72,ngm_72,Giorgio,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
131,72,one-to-one,dn_72,ngm_72,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
132,72,one-to-one,dn_72,ngm_72,Ippolita,Ippolita,PRON,PRON,obj,obj,explicit_full,
133,72,one-to-one,dn_72,ngm_72,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
134,72,one-to-one,dn_72,ngm_72,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
135,72,one-to-one,dn_72,ngm_72,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
136,74,one-to-one,dn_74,ngm_74,Ippolita,MISSING,PROPN,MISSING,vocative,MISSING,leftover_source,
137,75,one-to-one,dn_75,ngm_75,MISSING,Ippolita,MISSING,PROPN,MISSING,vocative,leftover_target,
138,76,one-to-one,dn_76,ngm_76,Ippolita,Ippolita,NOUN,NOUN,nsubj,nsubj,explicit_full,
139,76,one-to-one,dn_76,ngm_76,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
140,76,one-to-one,dn_76,ngm_76,Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
141,77,one-to-one,dn_77,ngm_77,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
142,77,one-to-one,dn_77,ngm_77,Giorgio Ippolita,Giorgio Ippolita,NOUN,NOUN,nsubj,nsubj,explicit_full,
143,77,one-to-one,dn_77,ngm_77,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
144,78,one-to-many,dn_78,ngm_78 ngm_79,Giorgio Ippolita,Giorgio Ippolita,PRON,NOUN,nsubj,obj,explicit_ref_only,
145,78,one-to-many,dn_78,ngm_78 ngm_79,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
146,78,one-to-many,dn_78,ngm_78 ngm_79,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
147,78,one-to-many,dn_78,ngm_78 ngm_79,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
148,79,one-to-one,dn_79,ngm_80,Giorgio Ippolita,Giorgio Ippolita,PRON,NOUN,obj,obj,explicit_ref_case,
149,79,one-to-one,dn_79,ngm_80,Giorgio Ippolita,Giorgio Ippolita,PRON-REFLEX,NOUN,obj,obj,reflex_obj,
150,79,one-to-one,dn_79,ngm_80,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
151,79,one-to-one,dn_79,ngm_80,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
152,79,one-to-one,dn_79,ngm_80,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
153,79,one-to-one,dn_79,ngm_80,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
154,79,one-to-one,dn_79,ngm_80,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
155,79,one-to-one,dn_79,ngm_80,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
156,80,one-to-many,dn_80,ngm_81 ngm_82,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
157,80,one-to-many,dn_80,ngm_81 ngm_82,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
158,80,one-to-many,dn_80,ngm_81 ngm_82,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
159,80,one-to-many,dn_80,ngm_81 ngm_82,Ippolita,Ippolita,PRON,PRON,obj,obj,explicit_full,
160,80,one-to-many,dn_80,ngm_81 ngm_82,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
161,80,one-to-many,dn_80,ngm_81 ngm_82,Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
162,80,one-to-many,dn_80,ngm_81 ngm_82,Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
163,82,one-to-one,dn_82,ngm_84,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
164,82,one-to-one,dn_82,ngm_84,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
165,82,one-to-one,dn_82,ngm_84,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
166,83,one-to-one,dn_83,ngm_85,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
167,83,one-to-one,dn_83,ngm_85,Ippolita,MISSING,PRON,MISSING,nsubj,MISSING,leftover_source,
168,84,one-to-many,dn_84,ngm_86 ngm_87,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
169,84,one-to-many,dn_84,ngm_86 ngm_87,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
170,84,one-to-many,dn_84,ngm_86 ngm_87,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
171,84,one-to-many,dn_84,ngm_86 ngm_87,Ippolita,Ippolita,PRON,PRON,obj,obj,explicit_full,
172,84,one-to-many,dn_84,ngm_86 ngm_87,Ippolita,MISSING,PRON,MISSING,nsubj,MISSING,leftover_source,
173,85,one-to-many,dn_85,ngm_88 ngm_89,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
174,85,one-to-many,dn_85,ngm_88 ngm_89,Giorgio,MISSING,PRON,MISSING,nsubj,MISSING,leftover_source,
175,85,one-to-many,dn_85,ngm_88 ngm_89,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.522857491438819
176,85,one-to-many,dn_85,ngm_88 ngm_89,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.39185692220392193
177,85,one-to-many,dn_85,ngm_88 ngm_89,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.26966146641117505
178,85,one-to-many,dn_85,ngm_88 ngm_89,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
179,85,one-to-many,dn_85,ngm_88 ngm_89,Ippolita,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
180,86,one-to-one,dn_86,ngm_90,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
181,86,one-to-one,dn_86,ngm_90,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
182,86,one-to-one,dn_86,ngm_90,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
183,87,one-to-many,dn_87,ngm_91 ngm_92,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
184,87,one-to-many,dn_87,ngm_91 ngm_92,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
185,87,one-to-many,dn_87,ngm_91 ngm_92,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
186,87,one-to-many,dn_87,ngm_91 ngm_92,Ippolita,Ippolita,DET,PRON,nmod,nmod,explicit_ref_case,
187,87,one-to-many,dn_87,ngm_91 ngm_92,MISSING,Ippolita,MISSING,NOUN,MISSING,obj,leftover_target,
188,88,one-to-one,dn_88 dn_89,ngm_93 ngm_94,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
189,88,one-to-one,dn_88 dn_89,ngm_93 ngm_94,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
190,88,one-to-one,dn_88 dn_89,ngm_93 ngm_94,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
191,88,one-to-one,dn_88 dn_89,ngm_93 ngm_94,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
192,88,one-to-one,dn_88 dn_89,ngm_93 ngm_94,Giorgio,Giorgio,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
193,88,one-to-one,dn_88 dn_89,ngm_93 ngm_94,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
194,88,one-to-one,dn_88 dn_89,ngm_93 ngm_94,Giorgio,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
195,88,one-to-one,dn_88 dn_89,ngm_93 ngm_94,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
196,88,one-to-one,dn_88 dn_89,ngm_93 ngm_94,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
197,88,one-to-one,dn_88 dn_89,ngm_93 ngm_94,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
198,88,one-to-one,dn_88 dn_89,ngm_93 ngm_94,MISSING,Ippolita,MISSING,NOUN,MISSING,nmod,leftover_target,
199,89,one-to-one,dn_90,ngm_95,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
200,89,one-to-one,dn_90,ngm_95,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
201,90,one-to-one,dn_91,ngm_96,Giorgio,Giorgio,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
202,91,one-to-one,dn_92,ngm_97,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
203,91,one-to-one,dn_92,ngm_97,Ippolita,Ippolita,PRON,PRON,obj,obj,explicit_full,
204,92,one-to-one,dn_93,ngm_98,Ippolita,Ippolita,PRON,PRON,nsubj,obj,explicit_ref_pos,
205,96,one-to-many,dn_97,ngm_102 ngm_103,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
206,96,one-to-many,dn_97,ngm_102 ngm_103,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
207,97,one-to-one,dn_98,ngm_104,MISSING,Giorgio Ippolita,MISSING,NOUN,MISSING,nmod,leftover_target,
208,98,one-to-one,dn_99,ngm_105,Ippolita,Ippolita,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
209,99,one-to-one,dn_100,ngm_106,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
210,100,one-to-one,dn_101,ngm_107,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
211,100,one-to-one,dn_101,ngm_107,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
212,102,one-to-one,dn_103,ngm_109,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.40964635732499033
213,102,one-to-one,dn_103,ngm_109,Giorgio Ippolita,Giorgio Ippolita,NULL,NOUN,nsubj,nsubj,zero_to_tgt_anchor,
214,103,one-to-one,dn_104,ngm_110,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
215,103,one-to-one,dn_104,ngm_110,Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
216,103,one-to-one,dn_104,ngm_110,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
217,103,one-to-one,dn_104,ngm_110,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
218,106,one-to-one,dn_107,ngm_115,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
219,106,one-to-one,dn_107,ngm_115,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
