,sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
84,49,one-to-one,dn_48,hrd_53,Giorgio Ippolita,Giorgio Ippolita,NULL,NOUN,nsubj,nsubj,zero_to_tgt_anchor,
85,50,one-to-many,dn_49,hrd_54 hrd_55,Giorgio Ippolita,Giorgio Ippolita,DET,NOUN,obj,obj,explicit_ref_case,
86,50,one-to-many,dn_49,hrd_54 hrd_55,Giorgio Ippolita,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
87,51,one-to-one,dn_50,hrd_56,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
88,53,one-to-one,dn_52,hrd_58,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
89,55,one-to-one,dn_54,hrd_60,Giorgio Ippolita,Giorgio Ippolita,DET,NOUN,nmod,nmod,explicit_ref_case,
90,56,one-to-one,dn_55,hrd_61,MISSING,Giorgio,MISSING,PRON,MISSING,nsubj,leftover_target,
91,56,one-to-one,dn_55,hrd_61,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
92,56,one-to-one,dn_55,hrd_61,Ippolita,MISSING,PRON,MISSING,nsubj,MISSING,leftover_source,
93,59,one-to-one,dn_58,hrd_64,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
94,59,one-to-one,dn_58,hrd_64,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
95,59,one-to-one,dn_58,hrd_64,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
96,60,one-to-one,dn_59,hrd_65,MISSING,Giorgio Ippolita,MISSING,PRON,MISSING,nmod,leftover_target,
97,61,one-to-one,dn_60,hrd_66,MISSING,Giorgio Ippolita,MISSING,NOUN,MISSING,nmod,leftover_target,
98,61,one-to-one,dn_60,hrd_66,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
99,62,one-to-one,dn_61,hrd_67,Ippolita,Ippolita,PRON,PRON,obj,nsubj,explicit_ref_pos,
100,62,one-to-one,dn_61,hrd_67,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
101,63,one-to-one,dn_62,hrd_68,Giorgio,Giorgio,PRON,PRON,obj,nsubj,explicit_ref_pos,
102,63,one-to-one,dn_62,hrd_68,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
103,63,one-to-one,dn_62,hrd_68,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
104,64,one-to-one,dn_63,hrd_69,Giorgio,Giorgio,PRON,PRON,nmod,nmod,explicit_full,
105,65,one-to-one,dn_64,hrd_70,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
106,65,one-to-one,dn_64,hrd_70,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
107,65,one-to-one,dn_64,hrd_70,Ippolita,Ippolita,PRON,PRON,obj,obj,explicit_full,
108,66,one-to-one,dn_65,hrd_71,Giorgio,Giorgio,PRON,PRON,obj,nsubj,explicit_ref_pos,
109,66,one-to-one,dn_65,hrd_71,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
110,67,one-to-one,dn_66,hrd_72,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
111,68,one-to-one,dn_67,hrd_73,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
112,68,one-to-one,dn_67,hrd_73,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
113,69,one-to-one,dn_68,hrd_74,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
114,70,one-to-one,dn_69,hrd_75,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
115,70,one-to-one,dn_69,hrd_75,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
116,70,one-to-one,dn_69,hrd_75,MISSING,Ippolita,MISSING,PRON,MISSING,nsubj,leftover_target,
117,71,one-to-one,dn_70,hrd_76,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
118,71,one-to-one,dn_70,hrd_76,Giorgio Ippolita,Giorgio Ippolita,PRON,NOUN,nsubj,nsubj,explicit_ref_case,
119,71,one-to-one,dn_70,hrd_76,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
120,71,one-to-one,dn_70,hrd_76,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
121,73,one-to-many,dn_72,hrd_78 hrd_79,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
122,73,one-to-many,dn_72,hrd_78 hrd_79,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.4768045882692938
123,73,one-to-many,dn_72,hrd_78 hrd_79,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.24740210579532945
124,73,one-to-many,dn_72,hrd_78 hrd_79,MISSING,Giorgio,MISSING,PRON,MISSING,obj,leftover_target,
125,73,one-to-many,dn_72,hrd_78 hrd_79,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
126,73,one-to-many,dn_72,hrd_78 hrd_79,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
127,73,one-to-many,dn_72,hrd_78 hrd_79,Ippolita,Ippolita,PRON,PRON,obj,nmod,explicit_ref_pos,
128,73,one-to-many,dn_72,hrd_78 hrd_79,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
129,73,one-to-many,dn_72,hrd_78 hrd_79,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
130,75,one-to-one,dn_74,hrd_81,Ippolita,Ippolita,PROPN,PROPN,vocative,vocative,explicit_full,
131,77,one-to-many,dn_76,hrd_83 hrd_84,Ippolita,Ippolita,NOUN,NOUN,nsubj,nsubj,explicit_full,
132,77,one-to-many,dn_76,hrd_83 hrd_84,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
133,77,one-to-many,dn_76,hrd_83 hrd_84,Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
134,78,one-to-one,dn_77,hrd_85,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
135,78,one-to-one,dn_77,hrd_85,Giorgio Ippolita,Giorgio Ippolita,NOUN,NOUN,nsubj,nsubj,explicit_full,
136,78,one-to-one,dn_77,hrd_85,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
137,79,one-to-many,dn_78,hrd_86 hrd_87,Giorgio Ippolita,Giorgio Ippolita,PRON,NOUN,nsubj,obj,explicit_ref_only,
138,79,one-to-many,dn_78,hrd_86 hrd_87,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.31869337427551675
139,79,one-to-many,dn_78,hrd_86 hrd_87,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
140,79,one-to-many,dn_78,hrd_86 hrd_87,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
141,79,one-to-many,dn_78,hrd_86 hrd_87,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
142,80,one-to-one,dn_79,hrd_88,Giorgio Ippolita,Giorgio Ippolita,PRON,PRON,obj,obj,explicit_full,
143,80,one-to-one,dn_79,hrd_88,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
144,80,one-to-one,dn_79,hrd_88,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
145,80,one-to-one,dn_79,hrd_88,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
146,81,one-to-many,dn_80,hrd_89 hrd_90,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
147,81,one-to-many,dn_80,hrd_89 hrd_90,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
148,81,one-to-many,dn_80,hrd_89 hrd_90,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
149,81,one-to-many,dn_80,hrd_89 hrd_90,Ippolita,Ippolita,PRON,PRON,obj,obj,explicit_full,
150,81,one-to-many,dn_80,hrd_89 hrd_90,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.41202822691479396
151,81,one-to-many,dn_80,hrd_89 hrd_90,Ippolita,Ippolita,PRON-REFLEX,PRON,obj,obj,reflex_obj,
152,81,one-to-many,dn_80,hrd_89 hrd_90,Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
153,81,one-to-many,dn_80,hrd_89 hrd_90,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
154,83,one-to-one,dn_82,hrd_92,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
155,84,one-to-one,dn_83,hrd_93,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
156,84,one-to-one,dn_83,hrd_93,Ippolita,Ippolita,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
157,85,one-to-many,dn_84,hrd_94 hrd_95,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
158,85,one-to-many,dn_84,hrd_94 hrd_95,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
159,85,one-to-many,dn_84,hrd_94 hrd_95,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
160,85,one-to-many,dn_84,hrd_94 hrd_95,Ippolita,Ippolita,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
161,85,one-to-many,dn_84,hrd_94 hrd_95,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
162,85,one-to-many,dn_84,hrd_94 hrd_95,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
163,85,one-to-many,dn_84,hrd_94 hrd_95,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
164,85,one-to-many,dn_84,hrd_94 hrd_95,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
165,86,one-to-many,dn_85,hrd_96 hrd_97 hrd_98,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
166,86,one-to-many,dn_85,hrd_96 hrd_97 hrd_98,Giorgio,Giorgio,PRON,PRON,nsubj,nmod,explicit_ref_pos,
167,86,one-to-many,dn_85,hrd_96 hrd_97 hrd_98,Ippolita,Ippolita,DET,PRON,nmod,nmod,explicit_ref_case,
168,86,one-to-many,dn_85,hrd_96 hrd_97 hrd_98,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.23126905179151924
169,86,one-to-many,dn_85,hrd_96 hrd_97 hrd_98,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.32773317060162943
170,86,one-to-many,dn_85,hrd_96 hrd_97 hrd_98,Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
171,86,one-to-many,dn_85,hrd_96 hrd_97 hrd_98,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
172,87,one-to-one,dn_86,hrd_99,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
173,87,one-to-one,dn_86,hrd_99,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
174,88,one-to-many,dn_87,hrd_100 hrd_101,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
175,88,one-to-many,dn_87,hrd_100 hrd_101,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
176,88,one-to-many,dn_87,hrd_100 hrd_101,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
177,88,one-to-many,dn_87,hrd_100 hrd_101,Ippolita,Ippolita,DET,NOUN,nmod,obj,explicit_ref_only,
178,89,one-to-many,dn_88,hrd_102 hrd_103,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
179,89,one-to-many,dn_88,hrd_102 hrd_103,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
180,89,one-to-many,dn_88,hrd_102 hrd_103,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
181,89,one-to-many,dn_88,hrd_102 hrd_103,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
182,89,one-to-many,dn_88,hrd_102 hrd_103,Giorgio,Giorgio,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
183,89,one-to-many,dn_88,hrd_102 hrd_103,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
184,89,one-to-many,dn_88,hrd_102 hrd_103,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
185,89,one-to-many,dn_88,hrd_102 hrd_103,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
186,89,one-to-many,dn_88,hrd_102 hrd_103,MISSING,Ippolita,MISSING,PRON,MISSING,nsubj,leftover_target,
187,90,one-to-one,dn_89,hrd_104,Giorgio,Giorgio,DET,NOUN,nmod,nmod,explicit_ref_case,
188,90,one-to-one,dn_89,hrd_104,MISSING,Giorgio,MISSING,PRON,MISSING,nmod,leftover_target,
189,91,one-to-one,dn_90,hrd_105,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
190,91,one-to-one,dn_90,hrd_105,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
191,92,one-to-one,dn_91,hrd_106,Giorgio,Giorgio,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
192,93,one-to-many,dn_92,hrd_107 hrd_108,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
193,93,one-to-many,dn_92,hrd_107 hrd_108,Ippolita,Ippolita,PRON,PRON,obj,obj,explicit_full,
194,93,one-to-many,dn_92,hrd_107 hrd_108,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
195,94,one-to-one,dn_93,hrd_109,Ippolita,Ippolita,PRON,PRON,nsubj,obj,explicit_ref_pos,
196,98,one-to-many,dn_97,hrd_113 hrd_114,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
197,98,one-to-many,dn_97,hrd_113 hrd_114,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
198,100,one-to-one,dn_99,hrd_116,Ippolita,Ippolita,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
199,101,one-to-one,dn_100,hrd_117,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
200,102,one-to-one,dn_101,hrd_118,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
201,104,one-to-one,dn_103,hrd_120,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.3742879959089415
202,104,one-to-one,dn_103,hrd_120,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.21192753809946616
203,104,one-to-one,dn_103,hrd_120,MISSING,Giorgio Ippolita,MISSING,NOUN,MISSING,nsubj,leftover_target,
204,105,one-to-one,dn_104,hrd_121,Ippolita,Ippolita,PROPN,NOUN,nsubj,nsubj,explicit_ref_case,
205,105,one-to-one,dn_104,hrd_121,Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
206,105,one-to-one,dn_104,hrd_121,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
207,108,one-to-one,dn_107,hrd_127,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
208,108,one-to-one,dn_107,hrd_127,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
209,108,one-to-one,dn_107,hrd_127,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
210,108,one-to-one,dn_107,hrd_127,Ippolita,Ippolita,NOUN,NOUN,obj,obj,explicit_full,
211,109,one-to-one,dn_108,hrd_128,Giorgio Ippolita,Giorgio Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
212,110,one-to-one,dn_109,hrd_129,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
213,111,one-to-one,dn_110,hrd_130,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
214,111,one-to-one,dn_110,hrd_130,Ippolita,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
215,112,one-to-one,dn_111,hrd_131,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
216,113,one-to-one,dn_112,hrd_132,MISSING,Giorgio,MISSING,PRON,MISSING,nsubj,leftover_target,
